population,state,regional_division,state,article_title,revision_id,article_quality
5074296,Alabama,South_East South Central,Alabama,"Abbeville, Alabama",1171163550,C
5074296,Alabama,South_East South Central,Alabama,"Adamsville, Alabama",1177621427,C
5074296,Alabama,South_East South Central,Alabama,"Addison, Alabama",1168359898,C
5074296,Alabama,South_East South Central,Alabama,"Akron, Alabama",1165909508,GA
5074296,Alabama,South_East South Central,Alabama,"Alabaster, Alabama",1179139816,C
5074296,Alabama,South_East South Central,Alabama,"Albertville, Alabama",1179198677,C
5074296,Alabama,South_East South Central,Alabama,"Alexander City, Alabama",1179140073,GA
5074296,Alabama,South_East South Central,Alabama,"Aliceville, Alabama",1167792390,GA
5074296,Alabama,South_East South Central,Alabama,"Allgood, Alabama",1165909718,C
5074296,Alabama,South_East South Central,Alabama,"Altoona, Alabama",1165909823,C
5074296,Alabama,South_East South Central,Alabama,"Andalusia, Alabama",1179141586,C
5074296,Alabama,South_East South Central,Alabama,"Anderson, Lauderdale County, Alabama",662691565,Stub
5074296,Alabama,South_East South Central,Alabama,"Anniston, Alabama",1176049382,C
5074296,Alabama,South_East South Central,Alabama,"Arab, Alabama",1171375371,C
5074296,Alabama,South_East South Central,Alabama,"Ardmore, Alabama",1176903479,GA
5074296,Alabama,South_East South Central,Alabama,"Argo, Alabama",1177623964,C
5074296,Alabama,South_East South Central,Alabama,"Ariton, Alabama",1166014478,C
5074296,Alabama,South_East South Central,Alabama,"Arley, Alabama",1166014498,C
5074296,Alabama,South_East South Central,Alabama,"Ashford, Alabama",1166014593,C
5074296,Alabama,South_East South Central,Alabama,"Ashland, Alabama",1174331705,C
5074296,Alabama,South_East South Central,Alabama,"Ashville, Alabama",1148844011,C
5074296,Alabama,South_East South Central,Alabama,"Athens, Alabama",1175308807,C
5074296,Alabama,South_East South Central,Alabama,"Atmore, Alabama",1167926420,C
5074296,Alabama,South_East South Central,Alabama,"Attalla, Alabama",1165507856,C
5074296,Alabama,South_East South Central,Alabama,"Auburn, Alabama",1179878794,C
5074296,Alabama,South_East South Central,Alabama,"Autaugaville, Alabama",1166014815,C
5074296,Alabama,South_East South Central,Alabama,"Avon, Alabama",1166014861,Start
5074296,Alabama,South_East South Central,Alabama,"Babbie, Alabama",1168820544,Start
5074296,Alabama,South_East South Central,Alabama,"Baileyton, Alabama",1166014939,C
5074296,Alabama,South_East South Central,Alabama,"Bakerhill, Alabama",1166014954,Start
5074296,Alabama,South_East South Central,Alabama,"Banks, Alabama",1166014997,C
5074296,Alabama,South_East South Central,Alabama,"Bay Minette, Alabama",1177963600,C
5074296,Alabama,South_East South Central,Alabama,"Bayou La Batre, Alabama",1177999052,C
5074296,Alabama,South_East South Central,Alabama,"Bear Creek, Alabama",1166015184,GA
5074296,Alabama,South_East South Central,Alabama,"Beatrice, Alabama",1166015214,C
5074296,Alabama,South_East South Central,Alabama,"Beaverton, Alabama",1166015251,Start
5074296,Alabama,South_East South Central,Alabama,"Belk, Alabama",1166015313,C
5074296,Alabama,South_East South Central,Alabama,"Benton, Alabama",1166015434,C
5074296,Alabama,South_East South Central,Alabama,"Berlin, Alabama",1166015476,Start
5074296,Alabama,South_East South Central,Alabama,"Berry, Alabama",1166015515,C
5074296,Alabama,South_East South Central,Alabama,"Bessemer, Alabama",1178999596,C
5074296,Alabama,South_East South Central,Alabama,"Billingsley, Alabama",1166015695,Start
5074296,Alabama,South_East South Central,Alabama,"Birmingham, Alabama",1179944837,B
5074296,Alabama,South_East South Central,Alabama,"Black, Alabama",1166015772,Start
5074296,Alabama,South_East South Central,Alabama,"Blountsville, Alabama",1105978061,GA
5074296,Alabama,South_East South Central,Alabama,"Blue Springs, Alabama",1166015902,Start
5074296,Alabama,South_East South Central,Alabama,"Boaz, Alabama",1177138566,GA
5074296,Alabama,South_East South Central,Alabama,"Boligee, Alabama",1166015957,C
5074296,Alabama,South_East South Central,Alabama,"Bon Air, Alabama",1166015981,C
5074296,Alabama,South_East South Central,Alabama,"Brantley, Alabama",1165814013,C
5074296,Alabama,South_East South Central,Alabama,"Brent, Alabama",1172245542,GA
5074296,Alabama,South_East South Central,Alabama,"Brewton, Alabama",1162427481,GA
5074296,Alabama,South_East South Central,Alabama,"Bridgeport, Alabama",1165537046,GA
